Episode,"Case 1: α=0.5, γ=0.2, ε=0.1","Case 2: α=0.1, γ=0.95, ε=0.2","Case 3: α=0.1, γ=0.8, ε=0.7"
396,22.0,-9.5,-12.5
397,22.5,22.5,-4.5
398,0.5,23.5,-10.0
399,23.0,23.5,-4.5
400,21.0,22.5,-3.5
401,23.0,-5.0,-4.5
402,21.0,23.5,-4.0
403,-7.0,-4.5,-12.5
404,23.0,23.5,-8.0
405,22.5,17.0,-2.5
406,21.5,22.5,15.0
407,-7.0,24.0,-7.0
408,-1.5,22.0,-4.0
409,23.0,23.0,-3.5
410,23.0,-3.0,-14.0
411,22.5,21.0,-6.0
412,23.0,21.0,-4.5
413,23.0,24.5,-8.5
414,22.5,21.0,-5.0
415,-2.0,24.5,-6.0
416,22.0,23.5,-5.5
417,22.5,24.0,-7.0
418,-3.5,2.0,-7.0
419,23.0,21.5,-5.0
420,-2.5,24.0,-5.5
421,-1.5,-3.0,-3.0
422,25.0,18.0,-8.5
423,20.5,-10.5,-5.5
424,23.0,20.0,-9.5
425,22.5,23.5,-6.5
426,22.5,23.5,-4.5
427,-2.5,24.0,-7.5
428,22.5,-7.0,15.0
429,-8.0,23.0,-11.0
430,21.5,23.0,16.5
431,23.0,21.5,-7.5
432,23.0,0.5,-7.0
433,-3.5,19.5,-3.5
434,22.5,-4.0,8.0
435,22.5,2.5,-11.5
436,21.5,1.5,-12.5
437,1.5,19.0,-5.0
438,-6.5,-4.0,3.0
439,22.0,-1.5,-5.5
440,23.0,-3.0,-5.5
441,22.5,24.5,-4.0
442,22.0,-14.5,-6.0
443,23.5,-10.5,-5.0
444,23.0,-6.5,-4.0
445,23.5,21.0,-5.0
446,20.0,24.5,-6.0
447,-7.0,-0.5,-3.0
448,1.0,24.5,-6.0
449,23.0,22.5,-6.5
450,21.5,-2.5,21.0
451,1.5,-1.5,-1.0
452,22.0,-8.5,-16.0
453,23.0,23.5,-6.5
454,-6.5,-6.0,-8.0
455,23.0,22.5,-11.5
456,18.5,23.5,-11.5
457,23.0,20.0,-6.5
458,22.5,24.5,-2.5
459,22.5,20.0,-6.5
460,22.0,2.0,-24.0
461,23.0,23.5,-8.0
462,22.5,-5.0,-7.0
463,22.0,24.0,-2.0
464,21.5,20.5,-5.5
465,21.5,22.0,-5.5
466,20.5,23.5,-6.5
467,22.0,0.5,-3.5
468,23.0,-1.5,-4.5
469,25.0,-1.5,-4.0
470,-2.0,23.5,-9.0
471,20.0,23.5,-6.0
472,22.5,23.5,-10.0
473,24.5,-2.5,-3.5
474,22.5,19.0,-7.5
475,-9.0,23.5,-14.0
476,23.0,24.5,-6.0
477,-1.0,24.5,-6.0
478,23.5,-2.5,-7.0
479,21.0,24.5,-13.0
480,20.5,24.0,-6.0
481,22.0,21.5,-6.5
482,22.0,23.5,-5.5
483,22.5,23.5,17.0
484,-10.5,17.5,15.0
485,21.5,22.0,-4.5
486,23.0,14.0,-7.0
487,21.0,22.0,23.0
488,23.0,22.0,-4.0
489,22.0,1.5,-4.5
490,22.5,1.0,-7.5
491,22.0,21.5,-7.0
492,21.5,24.0,14.0
493,23.0,23.5,-3.0
494,-4.0,24.5,-4.5
495,23.5,23.0,-16.0
496,17.0,-1.0,-9.5
497,21.0,-1.5,-3.5
498,-0.5,23.5,-5.0
499,23.0,23.5,14.5
500,25.0,-10.0,-1.5
501,22.5,24.5,-8.0
502,-0.5,-9.5,-8.0
503,22.0,24.0,-1.5
504,22.0,23.0,-6.5
505,23.0,-1.5,9.0
506,-4.0,-5.5,-7.0
507,23.5,0.5,-13.5
508,22.0,24.5,-9.5
509,22.0,-5.5,-11.5
510,23.0,22.5,-6.0
511,22.5,24.5,-3.5
512,22.5,-15.0,-4.5
513,23.5,22.5,-6.0
514,22.0,19.5,-1.5
515,21.5,21.0,-9.0
516,22.0,24.0,-9.0
517,0.0,22.5,-7.0
518,22.5,-7.5,18.5
519,23.0,22.5,-8.0
520,22.0,10.5,-4.0
521,22.5,22.5,-6.5
